cell_id,longitude,latitude,trees,shrubland,grassland,cropland,built_up,bare_sparse_vegetation,snow_ice,permanent_water_bodies,herbaceous_wetland,mangroves,moss_lichen,fraction_sum,valid_pixel_count,mean_elevation_m,mean_slope_deg
NGA_5km_017763,7.5210571901806755,10.657579726196673,0.0186963979416809,0.1568418104806245,0.1848251478979241,0.6226100045507054,0.007487660587391,0.0061154478944236,0.0,0.0033220149123114,0.0001015157349389,0.0,0.0,1.0,285670,634.6347017973857,0.9242566675921672
NGA_5km_008858,5.589679329323704,8.087469967125001,0.3559437078600841,0.5364148047074876,0.0989950815734787,0.000229735421373,0.0082913602077365,0.0001253102298398,0.0,0.0,0.0,0.0,0.0,1.0,287287,325.3189338235294,3.4776906530841503
NGA_5km_011121,6.0837527355894405,4.606061622166086,0.7917275594849418,6.909823350366048e-05,0.0016410830457119,0.0002556634639635,0.0017205460142411,0.0041113448934677,0.0,0.0885908451750431,0.0014406981685513,0.1104431615205757,0.0,1.0,289443,7.924971215518904,0.3497939875096451
NGA_5km_018239,7.6558044827986045,5.366734112865408,0.9107976354584496,0.0063535825706615,0.0712921024174016,0.0,0.0115566795534872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,289443,103.31660411560458,1.5048462113523795
NGA_5km_008388,5.499847800911752,5.813754406118632,0.4876360313460526,0.0,0.0002872926646913,0.0,0.0,3.461357405920305e-06,0.0,0.054942126104173,5.88430759006452e-05,0.4570722454517764,0.0,1.0,288904,8.868950737847221,0.4316949726622782
NGA_5km_018533,7.70072024700458,9.596411944345368,0.1548502517890273,0.4127735851688591,0.1358823775579951,0.2847308438071059,0.0023923444976076,0.0064900191108569,0.0,0.0028805780685479,0.0,0.0,0.0,1.0,286748,583.598186728395,1.2124668639383198
NGA_5km_027373,10.036339985715331,8.620737933763833,0.0046886910998409,0.1785775200409346,0.0991517193607786,0.6941803840758545,0.0007414188598857,0.0202167170808285,0.0,0.0010372902358965,0.0014062592459805,0.0,0.0,1.0,287287,129.91276041666666,0.4939689885557087
NGA_5km_037218,13.449938065369516,10.348437617033705,0.1381734168796163,0.2650960898939336,0.5401372212692968,0.0505793397976686,0.0045332026464101,0.0014807295130745,0.0,0.0,0.0,0.0,0.0,1.0,285670,773.7179930795847,6.837053028357483
NGA_5km_004178,4.421869459968326,13.38102813421326,0.0,0.0325541125541125,0.9536319462850076,0.0042017846099478,0.0,0.009612156550932,0.0,0.0,0.0,0.0,0.0,1.0,282975,279.3662712191358,0.654910381929374
NGA_5km_014077,6.712573434473107,4.874634135289962,0.7171152869476892,0.0,0.0835915879810532,0.0002452987289379,0.0103750997605746,0.000321306785792,0.0,0.0526597637531396,0.0001105571736058,0.1355810988692074,0.0,1.0,289443,8.592092255015432,0.3640993141833646
NGA_5km_028334,10.305834570951191,12.724703586411222,0.0073646081809347,0.0371834967753335,0.1697287746267338,0.6798798480431133,0.0105203639897517,0.0002297022705185,0.0,0.0007138439791501,0.0943793621344641,0.0,0.0,1.0,282975,346.7360387731481,0.0507069634802547
NGA_5km_012758,6.398163085031274,11.186803301758893,0.0376318253714959,0.4295534333341517,0.1938547544812735,0.3388617863368066,1.4028639467472843e-05,8.417183680483707e-05,0.0,0.0,0.0,0.0,0.0,1.0,285131,479.71180555555554,0.8113486207561729
NGA_5km_024157,9.04819317318386,9.197595558229548,0.0083348445324814,0.1431710072956045,0.3374251956421666,0.4893181469443553,0.0193270746439382,0.0024237309414538,0.0,0.0,0.0,0.0,0.0,1.0,286748,1199.8971836419753,2.431186252170139
NGA_5km_002135,3.8379645252906367,11.978815882455384,0.0,0.4062164455224905,0.233695824370804,0.3599046656785881,0.0,0.0001830644281172,0.0,0.0,0.0,0.0,0.0,1.0,284053,224.363956404321,0.3404354990264516
NGA_5km_016841,7.341394133356771,4.740360928159511,0.4178335630849597,1.727455837591512e-05,0.5520188776373932,0.0004456836060986,0.0291041759517417,0.0,0.0,0.0,0.0005804251614307,0.0,0.0,1.0,289443,18.689453125,0.2325574615855276
NGA_5km_024965,9.27277199421374,10.966408263188969,0.000238486870947,0.0229438398490518,0.2332717242250053,0.7295067881079224,0.0107003447538149,0.0033388161932585,0.0,0.0,0.0,0.0,0.0,1.0,285131,621.7738233024692,0.8587489186981578
NGA_5km_014522,6.802404962885059,6.572860205594991,0.4231858928788168,0.0064362873441645,0.431966431432386,0.1274461186343696,0.0,0.0001907304978065,0.0,0.0,0.0107745392124564,0.0,0.0,1.0,288365,23.034761405285494,0.157788665206344
NGA_5km_004890,4.646448280998206,7.37535533404169,0.9901860489310422,0.0013455169663447,0.005153191268011,3.46782723284726e-06,0.0033117750073691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,288365,280.3567708333333,2.374555611316069
NGA_5km_030103,10.88973950562888,6.9296941004523935,0.9636190245001994,0.0062941064276177,0.0300868690721828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,288365,482.33603395061726,9.388215241608796
NGA_5km_032179,11.473644440306568,9.24193105710793,7.672241829062452e-05,0.0235851688590678,0.3884630407186798,0.5878541437080642,1.7436913247869208e-05,3.487382649573842e-06,0.0,0.0,0.0,0.0,0.0,1.0,286748,165.112003279321,0.6695456328215422
NGA_5km_009058,5.634595093529679,7.598019512079751,0.9129613030094572,0.0051593671176335,0.0807571240958078,0.0002640484181415,0.0008477343950859,1.0422963874007212e-05,0.0,0.0,0.0,0.0,0.0,1.0,287826,424.0612461419753,1.2392502772955247
NGA_5km_032521,11.56347596871852,10.745848827131825,0.0,0.0005670878986242,0.512811985857808,0.3811145727587776,0.0,0.0004445689081807,0.0,0.0464451990058459,0.0586165855707634,0.0,0.0,1.0,285670,256.2055362654321,0.4541209185564959
NGA_5km_004556,4.556616752586254,7.776067947672956,0.1416723992967973,0.0008894262505819,0.0363136061370411,0.0033422970822649,0.8162917873993315,0.001087462564188,0.0,0.0004030212697949,0.0,0.0,0.0,1.0,287826,320.0710358796296,1.284934338228202
