cell_id,longitude,latitude,trees,shrubland,grassland,cropland,built_up,bare_sparse_vegetation,snow_ice,permanent_water_bodies,herbaceous_wetland,mangroves,moss_lichen,fraction_sum,valid_pixel_count
NGA_5km_019959,8.015130596446411,10.789973715203375,0.029758251470376775,0.10671235326919908,0.09613826627059141,0.7604995598514367,0.006474217114238718,0.0003963090649561079,0.0,0.0,2.1042959201209268e-05,0.0,0.0,1.0,285131
NGA_5km_027277,9.991424221509359,10.745848827131825,0.0004690727062694718,0.18412853992368816,0.4505968425105891,0.36289074806595023,0.0003535548009941541,0.0015612419925088389,0.0,0.0,0.0,0.0,0.0,1.0,285670
NGA_5km_012351,6.308331556619321,11.978815882455384,0.0015173224715105983,0.07267657796256333,0.19630843539761947,0.7246006907161692,0.0042703298328128905,0.0006266436193245626,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,284053
NGA_5km_020701,8.194793653270317,8.487489625446269,0.023443455499204627,0.01775228256064493,0.02025500631772409,0.9368123166032574,0.00165339886594242,8.354015322656437e-05,0.0,0.0,0.0,0.0,0.0,1.0,287287
NGA_5km_027378,10.036339985715333,8.842713736189818,0.005377897363960082,0.2553857292533251,0.1575845757030426,0.5813976963802748,0.00023669710080859906,1.7404198588867577e-05,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,287287
NGA_5km_022158,8.50920400271215,13.031205175481498,0.0,0.005488117324852018,0.18137291280148424,0.765488117324852,0.028582030214683276,0.019044085166534146,0.0,0.0,2.4737167594310453e-05,0.0,0.0,1.0,282975
NGA_5km_025729,9.497350815243623,12.022750000660956,8.433125316242199e-05,0.005643166357452072,0.08434179456906729,0.9018981559565975,0.007835778939675044,0.0001967729240456513,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,284592
NGA_5km_011568,6.173584264001392,5.545583086622772,0.6008847229529533,1.0384072217760917e-05,0.3731170215711794,0.0004742059646110819,0.021072743887242822,0.0034232824744551823,0.0,0.0,0.0010176390773405698,0.0,0.0,1.0,288904
NGA_5km_002308,3.927796053702589,7.018860934907499,0.9839925094931771,0.004168328333882406,0.010094845074818372,2.7742617862778078e-05,0.0017165744802593935,0.0,0.0,0.0,0.0,0.0,0.0,1.0,288365
NGA_5km_035214,12.506707017044018,12.85610728728849,0.0,0.0007173778602350031,0.9935223959713756,0.005318491032776747,0.0004382012545277851,3.533881084901493e-06,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,282975
NGA_5km_000070,2.7599861843472118,7.820568321819245,0.33510523719191454,0.5301744804152508,0.10820426229736022,0.02605046104243536,0.00046555905303898883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,287826
NGA_5km_009606,5.724426621941632,13.07496037069788,0.00012368583797155226,0.06384309567983038,0.6760809258768442,0.23103100980652,0.0,0.028921282798833818,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,282975
NGA_5km_018511,7.70072024700458,8.620737933763833,0.026510075290563095,0.09237452443027355,0.1624229429107478,0.702931215126337,0.004368453845805762,0.011392788396272717,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,287287
NGA_5km_016437,7.206646840738844,13.118707806855701,0.009378920399328562,0.005590599876314162,0.10637335453661985,0.7724498630621079,0.07559678416821274,0.02639455782312925,0.0,2.1203286509408958e-05,0.004194716847778072,0.0,0.0,1.0,282975
NGA_5km_001484,3.6133857042607564,11.846970733507717,0.017394641140913842,0.21299898258423605,0.07251463635307495,0.6881180624742566,0.008403361344537815,0.000528070465722946,0.0,0.0,4.2245637257835686e-05,0.0,0.0,0.9999999999999999,284053
NGA_5km_008591,5.544763565117727,5.545583086622772,0.006746185584138676,0.0,0.001176861518012904,0.0,0.0032536759615650872,0.0012945476698141944,0.0,0.14312712873480465,0.008643009442583003,0.8357585910890815,0.0,1.0,288904
NGA_5km_035820,12.776201602279874,10.525128141735781,0.03221677053705139,0.41856900863112045,0.5353083319596957,0.008154146690468591,7.365035720423243e-05,0.005678091824459634,0.0,0.0,0.0,0.0,0.0,1.0,285131
NGA_5km_003938,4.376953695762349,10.127434653914394,0.363321908116097,0.6305951245418557,0.005845378726734659,0.0,3.493950225185092e-06,0.00023409466508740115,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,286209
NGA_5km_013837,6.6227419060611545,12.50554643774801,0.000675930196125371,0.0013765036806511462,0.12330797421607939,0.7811499966555537,0.02855100984675395,0.06493154446529345,0.0,3.520469771486307e-06,3.520469771486307e-06,0.0,0.0,1.0,284053
NGA_5km_021464,8.37445671009422,7.598019512079751,0.07902691209272268,0.330876988180359,0.3673851563097149,0.2219848102673143,0.0007261331498891691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,287826
NGA_5km_017208,7.386309897562748,12.28620320429645,0.0001478597304024249,0.03693676884243433,0.18945056028276414,0.7700922011033152,0.0011899187827623717,0.002168609379235565,0.0,1.4081879085945229e-05,0.0,0.0,0.0,1.0,284053
